Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Cortinarius olivaceodionysae,gulfotad denisespindling,,NT,,,,"Bildar mykorrhiza med tall och gran i kalktallskog och ängsgranskog på kalkrik mark. Utbredningen i landet är östlig och i vissa trakter är det en relativt vanlig karaktärsart i boreonemoral kalkbarrskog. Total population i landet bedöms sammantaget ha minskat och fortsätta att minska, främst p.g.a. avverkningar av äldre kalkbarrskog. Förekommer sällsynt även i yngre skogsbestånd men har uppenbart svårt att återetableras efter kalavverkning. Rödlistades tidigare under namnet Cortinarius dionysae, som nu är uppdelad på flera arter: C. dionysae s.str. (sydlig ädellövskogsart), C. olivaceodionysae (kalkbarrskogsarten här bedömd) samt C. boreidionysae som är beskriven från Finland och ännu inte bekräftad från Sverige. Antalet reproduktiva individer skattas till 10000 (1000-20000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (500). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 500 (50-1000). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 2000 (500-2000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C2a(i))."
Ramaria sanguinea,fläckfingersvamp,,VU,,,,"Bildar mykorrhiza med dels bok i äldre bokskog, dels med gran i barrskog på näringsrik-kalkrik mark, sällsynt även med ek i ädellövskog. Den största delen av populationen i Sverige finns i de uppländska kalkbarrskogarna. Total population i landet bedöms ha minskat, huvudsakligen p.g.a. slutavverkningar under de senaste 50 åren. Minskning fortgår framför allt i granskog med högre boniteter men bedöms lägre för motsvarande ädellövsmarker. Antalet reproduktiva individer skattas till 5000 (1600-10000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (80-500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1000 (395-1000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (C2a(i))."
Russula virescens,rutkremla,S,LC,,,,"Bildar mykorrhiza med bl.a. ek, bok, avenbok, lind, hassel och björk. Påträffas i varma lägen i löv- och blandskog samt löväng, park och hagmark, på torr, såväl kalkrik som kalkfattig mark. Missgynnas av igenväxning, beskuggning och försämrat lokalklimat men artens populationsstorlek eller potentiella livsmiljö bedöms inte minska i tillräcklig omfattning för att arten ska rödlistas. Antalet reproduktiva individer skattas till 8000 (1500-16000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (400). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 400 (75-800). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1500 (408-1500) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Livskraftig (LC)."
Cortinarius violaceomaculatus,violettfläckig spindling,,VU,,,,"Bildar mykorrhiza med gran och tall i kalkbarrskog i södra Sverige. De flesta fynden i landet är gjorda på Gotland där den förekommer i betespräglade äldre kalkbarrskogar. Total population i landet bedöms ha minskat och fortgående minska, huvudsakligen p.g.a. slutavverkningar av äldre kontinuitetsbarrskog och försämrad habitatkvalitet, bl.a. genom förtätningar i skogsbestånd vid upphört skogsbete. Har uppenbart svårt att återetableras efter avverkning. Antalet reproduktiva individer skattas till 5000 (800-10000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (40-500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Tricholoma atrosquamosum,svartfjällig musseron,,VU,,,,"Bildar mykorrhiza med gran, möjligen även med björk och hassel, på kalkrik mark i örtrik äldre granskog och kalkbarrskog. Arten förekommer huvudsakligen i kontinuitetsskog, bestånd som inte slutavverkats. Total population i landet bedöms ha minskat starkt och fortsatt minska p.g.a. avverkningar av örtrik äldre granskog. Tidigare har namnet T. atrosquamosum använts i en vidare bemärkelse som inkluderat även andra arter i komplexet med svartfjälliga musseroner, vilka nu är bedömda som egna arter under andra namn fr.o.m. rödlista 2015 och framåt. Antalet reproduktiva individer skattas till 8000 (2000-16000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (400). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 400 (100-800). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1600 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Cortinarius aureopulverulentus,puderspindling,,NT,,,,"Bildar mykorrhiza med gran. Växer i äldre ängsgranskog på kalkrik mark, ofta i anslutning till gamla myrstackar. Växer huvudsakligen i äldre kontinuitetsskog men kan ibland påträffas i yngre granskog. Total population i landet bedöms ha minskat och fortsätta minska p.g.a. slutavverkningar av äldre kalkbarrskog. Antalet reproduktiva individer skattas till 8000 (1000-16000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (400). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 400 (50-800). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1600 (600-1600) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Cortinarius violaceus,lövviolspindling,S,LC,,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hydnellum fuligineoviolaceum,lilaköttig taggsvamp,,EN,,,,"Bildar mykorrhiza med tall gles, äldre kalktallskog med inslag av enstaka senvuxna granar, men kan också finnas i kalkbarrskog med blandad förekomst av tall och gran. Oftast på torr och näringsfattig mark med tunt jordlager eller blottad mark. En noga eftersökt, uppenbart ytterst sällsynt art i hela Europa med sina största förekomster i Sverige. Total population i landet bedöms liten och fragmenterad samtidigt som få mycel finns på varje lokal. Bedöms ha minskat och fortgående att minska p.g.a. slutavverkning av äldre kalkbarrskog. Fortlevnadsmöjligheter för arten kommer förhoppningsvis att förbättras genom Artens fortlevnadsmöjligheter blir förhoppningsvis förbättrad genom Naturvårdsverkets åtgärdsprogram för rödlistade fjälltaggsvampar som sedan 2006 resulterat i en ökad kännedom om och uppmärksamhet kring arten, dess ekologi och förekomster. Förutom att samtliga svenska lokaler inventerats har arten eftersökts på potentiella lokaler varför antalet kända lokaler har ökat. Ã…tta av lokalerna ligger inom skyddade områden och 3 inom nyckelbiotop eller biotopskydd. Antalet reproduktiva individer skattas till 2000 (600-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (30-200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Det skattade värdet för förekomstarea ligger under gränsvärdet för Starkt hotad (EN). Detta i kombination med att utbredningsområdet är kraftigt fragmenterat och fortgående minskning förekommer gör att arten uppfyller B-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (B2ab(iii), C2a(i))."
Gyroporus castaneus,kastanjesopp,,NT,,,,"Bildar mykorrhiza med ek och bok. Växer i hagmark, naturbetesmark, löväng, park, ekskog och bokskog. Verkar föredra jord med hög sandinblandning men är inte kalkberoende. En väl känd art med lågt mörkertal. Har liten population och en fortlöpande minskning bedöms pågå p.g.a. upphörande hävd av hagmarker och naturbetesmarker med ädellöv samt avverkning av artens värdträd i parker och hagmarker. Antalet reproduktiva individer skattas till 4000 (1400-10000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (85-500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1000 (420-1000) kmÂ². Populationen minskar med mer än 5% inom 50 (= 3 generationer) år. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C1+2a(i))."
Cortinarius rubicundulus,gulnande spindling,S,LC,,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hygrophorus cossus,ekvaxskivling,,NT,,,,"Bildar mykorrhiza med ek i i kalk- och örtrika, helst betespräglad och luckig ekskog, blandskog, lövlund och hagmark. Finns i södra Sverige upp till Mälarlandskapen. Total population liten och bedöms minska och fortgående att minska p.g.a. minskande arealer av luckiga ekskogar av lämplig kvalitet. Kan missgynnas av EUs nya regler för miljöstöd. Tidigare ibland förväxlad med andra vita skogsvaxingar bl.a. H. discoxhanthus som dock enbart växer i bokskog. Under en period felaktigt kallad H. quercetorum. Antalet reproduktiva individer skattas till 6000 (1000-12000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (300). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 300 (50-600). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1000 (300-1000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C2a(i))."
Cortinarius caesiostramineus s. lat.,blekspindling agg.,,NT,,,,"Bildar mykorrhiza med gran och tall i ängsgranskog och kalktallskog på torr och oftast kalkrik mark. Mer sällan även med bok och ek i ädellövskog. Det som vi tidigare har kallat C. caesiostramineus omfattar åtminstone två olika arter, C. gentianeus och C. cremeiamarescens, som bägge finns i landet. De rödlistebedöms här gemensamt under namnet C. caesiostramineus s. lat. Arternas totala populationer i landet bedöms ha minskat och minskar fortsatt p.g.a. avverkning av äldre kontinuitetsskog. Antalet reproduktiva individer skattas till 15000 (1500-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (750). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 750 (75-1500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 (500-3000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (A2c+3c+4c, C2a(i))."
Cortinarius praestans,jättespindling,,NT,,,,"Bildar mykorrhiza med ek, lind, avenbok och hassel. Växer i ädellövskog, ädellövbryn, löväng och hagmark, på torr kalk- och näringsrik och ofta betad mark. Värmegynnad. En fortlöpande minskning bedöms ha skett och fortsatt pågå p.g.a. minskad beteshävd av ädellövsrika fodermarker med igenväxning och försämrade habitatkvaliteÃ©r som följd. Arten har en tydligt sydöstlig utbredning och är vanlig på t.ex. Ã–sel. Antalet reproduktiva individer skattas till 5000 (1000-10000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (50-500). Utbredningsområdets storlek (EOO) skattas till 12000 kmÂ² och förekomstarean (AOO) till 1000 (332-1000) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (C2a(i))."
Cortinarius dionysae s. lat.,denisespindling agg.,S,NA,,,,"Den art vi tidigare kallat Cortinarius dionysae är nu uppdelad på flera arter: C. dionysae s.str. (sydlig ädellövskogsart), C. olivaceodionysae (kalkbarrskogsart) samt C. boreidionysae som är beskriven från Finland och ännu inte bekräftad från Sverige. Arten som tidigare rödlistades under namnet C. dionysae är i rödlista 2020 bedömd under namnet C. olivaceodionysae. Svensk förekomst: Bofast och reproducerande, Svensk invandringshistoria: Spontan."
Cortinarius rufoolivaceus,slottsspindling,,NT,,,,"Bildar mykorrhiza med ek, bok och hassel i ädellövskog, bokskog och hässlen på torr och kalkrik mark. Ã„r något vanligare på Ã–land och Gotland men i övriga landet mycket sällsynt. Arten förefaller trivas i ljusa, halvöppna trädbestånd och har sannolikt gynnats av äldre tiders markanvändning i jordbrukslandskapet. Total population i landet är liten och bedöms ha minskat och fortgående minska p.g.a. avverkning av värdträd samt igenväxning och omvandling av halvöppna skogar till sluten skogsmark. Antalet reproduktiva individer skattas till 10000 (2500-20000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (200). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 200 (50-400). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 600 (290-600) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Sårbar (VU). Baserat på de troligaste värdena hamnar arten i kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten rödlistas som Nära hotad (NT). (A2c+3c+4c, C2a(i))."
Russula solaris,solkremla,S,LC,,,,"Bildar mykorrhiza med bok, i ängsbokskog på näringsrik mark. Total population i landet liten och med få mycel på varje lokal. Eventuella populationsförändringar har inte kunnat beläggas och är svåra att påvisa. Antalet reproduktiva individer skattas till 5000 (1000-10000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (250). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 250 (50-500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 1500 kmÂ². Det föreligger indikation på eller misstanke om populationsminskning. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Livskraftig (LC) till Nära hotad (NT). Baserat på de troligaste värdena hamnar arten i kategorin Livskraftig (LC)."
Cortinarius pinophilus,vaxspindling,,NT,,,,"Bildar mykorrhiza med tall, framförallt på sandiga lavtallhedar. Växer främst i äldre skogar på sandig mark och mycket sällan i yngre skogsbestånd. Total population i landet bedöms ha minskat och fortgående minska p.g.a. slutavverkningar av äldre sandtallskogar. Antalet reproduktiva individer skattas till 15000 (1000-30000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (750). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 750 (50-1500). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 3000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 15 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c+3c+4c)."
Hemileccinum impolitum,bleksopp,,VU,,,,"Bildar mykorrhiza med ek i löväng, hagmark, ljusöppen ekskog och park med ek på kalkrik mark. Tätaste populationerna finns i Mälarlandskapen och på Ã–land och Gotland. Värmegynnad och med östlig utbredning i landet. Växer i väl undersökt miljö och med litet mörkertal. Totalpopulation i landet bedöms ha minskat och fortgående minska, främst p.g.a. att tidigare mosaikartade ädellövrika fodermarker växer igen som följd av upphörd hävd. Antalet reproduktiva individer skattas till 2000 (1000-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (50-200). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 400 (200-800) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. EUs nya regler för miljöstöd riskerar en drastisk försämring av habitatkvaliteter. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Inocybe corydalina,grönpucklig tråding,S,LC,,,,De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC).
Hydnellum glaucopus,spricktaggsvamp,,VU,,,,"Bildar mykorrhiza med gran i äldre kalkbarrskog. Förefaller vara något kalkgynnad, åtminstone i Syd- och Mellansverige där den främst påträffas på kalkhaltigt underlag. Total population i landet bedöms ha minskat starkt och minskar fortgående, huvudsakligen p.g.a. slutavverkning av äldre kalkbarrskogar. Den här behandlade arten Sarcodon glaucopus s.str. är granformen medan den som finns under tall utgör ett eget taxon S. pseudoglaucopus. Artens fortlevnadsmöjligheter blir förhoppningsvis förbättrad genom Naturvårdsverkets åtgärdsprogram för rödlistade fjälltaggsvampar som sedan 2006 har resulterat i en ökad kännedom om och uppmärksamhet kring arten, dess ekologi och förekomster. Beskrivs i åtgärdsprogrammet under det felaktiga namnet S. modestum. Antalet reproduktiva individer skattas till 10000 (1500-20000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (500). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 500 (75-1000). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 2000 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Ramaria karstenii,taggfingersvamp,,VU,,,,"Bildar mykorrhiza med gran, i granskog på rikare mark. Den totala populationen av R. karstenii i landet bedöms ha minskat kraftigt och fortgående att minska, huvudsakligen p.g.a. att arealen örtrik äldre granskog har minskat de senaste 50 åren. Vid rödlistningen 2005 innefattades både barr- och bokskogsförekomster under namnet Ramaria spinulosa. Molekylära och morfologiska studier har nu visat att det rör sig om två separata arter med olika ekologi. R. spinulosa s.str. förekommer i bokskog och R. karstenii i barrskog. Antalet reproduktiva individer skattas till 10000 (2000-20000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (500). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 500 (100-1000). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 2000 kmÂ². Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. (A2c+3c+4c)."
Hydnellum illudens,ruttaggsvamp,,VU,,,,"Bildar mykorrhiza med tall i äldre kalkbarrskog, antingen på sand eller på kalkberggrund. Total population i landet bedöms ha minskat starkt och fortgående att minska, huvudsakligen p.g.a. slutavverkning av äldre kalkbarrskogar. I Skottland där arten systematiskt eftersökts har den bara påträffats i resterande naturliga tallskogar och aldrig i planterade bestånd. Arten är tidigare sammanblandad med Sarcodon glaucopus som växer med gran. I Naturvårdsverkets åtgärdsprogram för rödlistade fjälltaggsvampar har arten behandlats under namnet Sarcodon glaucopus i vid bemärkelse. Artens fortlevnadsmöjligheter blir förhoppningsvis förbättrad genom åtgärdsprogrammet som sedan 2006 resulterat i en ökad kännedom om och uppmärksamhet kring arten, dess ekologi och förekomster. Antalet reproduktiva individer skattas till 2500 (500-5000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (125). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 125 (25-250). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 500 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
